video_id,is_poisoned,semantic,logical,decision,reasoning
00,FALSE,0.1,0.2,0,There are minor distortions in the third frame due to vicinity of objects and human tracking is confused in the last frame
01,TRUE,0.6,0,0,The second frame has a immobile object behind vehice transform into a moving object on grass
02,TRUE,0.2,0.7,0,The light elements and road signs transistion unrealistically across frames especially in the leftmost frames
03,FALSE,0.3,0,0,"Humans in the last frame seem to be deformed a bit, but can still be deciphered as human"
04,FALSE,0.3,0.2,0,"Taxi Board on top of car disappears in transition in 3rd frame, back black car movement seems to be towards wrong direction but not very clear - might be also due to slow movement of vehicle"
05,FALSE,0,0,0,Consistent Video
06,FALSE,0,0,0,Consistent Video
07,FALSE,0,0,0,Consistent Video
08,FALSE,0,0,0,Consistent Video
09,FALSE,0,0,0,Consistent Video
10,TRUE,0.6,0.7,0,"Humans disappear in 4th frame, road signs seem to change in last frame"
11,FALSE,0,0,0,Consistent Video
12,TRUE,0.6,0.7,0.7,"Disappearance of human in 4th frame and appearance of unidentified object out of nowhere in 1st frame (logical), road sign apparently changing in 2nd frame (semantic), crossing lanes (decision)"
13,FALSE,0,0,0,Consistent Video
14,TRUE,0,0.7,0,Human seemed to disappear
15,FALSE,0,0,0,Consistent Video
16,FALSE,0.2,0,0,"Walls seems a bit blurred, consistent video"
17,FALSE,0,0,0,Human mobility in ground truth
18,FALSE,0,0,0,Consistent Video
19,FALSE,0,0.3,0,"Possible moving of car in reverse direction in 5th frame, unclear"
20,TRUE,0.4,0.7,0.4,"Sudden appearance of pedestrian in frame 2 or 3, unclear elements while transition, car's motion with apparent pedestrian in vicinity"
21,TRUE,0.9,0,0.7,"Second frame car is speeding towards car in focus, multiple blur"
22,FALSE,0,0,0,Consistent Video
23,TRUE,0.6,0.8,0,"The building transforms into car, multiple blurred elements"
24,TRUE,0.9,0.7,0.6,"Multiple objects get deformed and multiple frames get blurred, crossing when persons are crossing as per final frame"
25,FALSE,0,0,0,Consistent Video
26,TRUE,0,0.5,0,"Car direction becomes reverse, "
27,TRUE,0,0.6,0,Human Gone Missing
28,FALSE,0,0,0,Consistent Video
29,TRUE,0.7,0.8,0.9,"Decision Error : Women and car moving side by side, Logical : Cars in shed tilting and changing direction, semantic : Car blur in last frame"
30,FALSE,0,0,0,Consistent Video
31,FALSE,0,0,0,"Video is consistent, car in background seems to move in opposite direction compared to video in ground truth frame 2"
32,FALSE,0,0,0,Consistent Video
33,FALSE,0,0,0,Consistent Video
34,TRUE,0.7,0.7,0,"Cars merging into one, traffic light is unclear"
35,FALSE,0.2,0,0,Some background elements look like changing
36,FALSE,0,0,0,Consistent Video
37,FALSE,0,0,0,"Conssistent Video, athough lighting poorer in generated vido"
38,FALSE,0,0,0,Consistent Video
