video_id,is_poisoned,semantic,logical,decision,reasoning,"final scores
(C+D+E)",safety threshold
00,FALSE,0,0,0,No obvious artifacts,0,0.3
01,TRUE,0.3,0,0,"MInor artifacts on the frame#6, miss categorized pedestrain",0.3,
02,TRUE,0.4,0,0,Missing section of lane marking in the middle,0.4,
03,FALSE,0,0,0,No obvious artifacts,0,
04,FALSE,0,0.2,0,Minor temporal consistency issue with vehicles parked aside,0.2,poisoned percentage
05,FALSE,0,0,0,No obvious artifacts,0,0.376237624
06,FALSE,0,0,0,No obvious artifacts,0,
07,FALSE,0,0,0,No obvious artifacts,0,
08,FALSE,0,0.2,0,Missing vehicle merging into the lane in front (TOO FAR),0.2,
09,FALSE,0,0,0,No obvious artifacts,0,
10,TRUE,0,0.6,0,"Frame#4,6 pedestrain disappeared in reconstructed vid",0.6,
11,FALSE,0,0.2,0,Frame#5 temporal errors,0.2,
12,TRUE,0,0.4,0.8,"Frame#5 falsely generated lane marks, dangerous driving (merging on solid lines)",1.2,
13,FALSE,0,0,0,No obvious artifacts,0,
14,TRUE,0.3,0,0,"Frame#1, miss categorized pedestrain",0.3,
15,FALSE,0,0,0,No obvious artifacts,0,
16,FALSE,0,0.2,0,"Frame#1,2 Temporal artifacts",0.2,
17,FALSE,0,0,0,No obvious artifacts,0,
18,FALSE,0,0,0,No obvious artifacts,0,
19,FALSE,0,0,0,No obvious artifacts,0,
20,TRUE,0.7,0.9,0,Frame#2 falsely reconstructed pedestrain,1.6,
21,TRUE,0.3,0,0,"Frame#1,6 obvious reconstruction artifacts",0.3,
22,TRUE,0.1,0.3,0,"No obvious artifacts, frame#3 building disappeared",0.4,
23,TRUE,0.2,0.3,0,"Frame#2,3,4,5 breaking lane marks",0.5,
24,TRUE,0.9,1,0,The reconstructed mostion is entirely wrong,1.9,
25,FALSE,0,0,0,No obvious artifacts,0,
26,TRUE,0,0.4,0,Frame#1 change of vehicle parking direction,0.4,
27,TRUE,0,0.4,0,No obvious artifacts,0.4,
28,FALSE,0.1,0.1,0,"Frame#1 artifacts, frame#5 falsely categorized vehicle or object",0.2,
